date and time,value
[2020-04-10 15:03:20.998] ,693
[2020-04-10 15:03:21.098] ,693
[2020-04-10 15:03:21.198] ,697
[2020-04-10 15:03:21.298] ,691
[2020-04-10 15:03:21.398] ,687
[2020-04-10 15:03:21.498] ,687
[2020-04-10 15:03:21.598] ,682
[2020-04-10 15:03:21.698] ,678
[2020-04-10 15:03:21.798] ,689
[2020-04-10 15:03:21.903] ,696
[2020-04-10 15:03:22.003] ,708
[2020-04-10 15:03:22.103] ,710
[2020-04-10 15:03:22.204] ,696
[2020-04-10 15:03:22.304] ,713
[2020-04-10 15:03:22.405] ,705
[2020-04-10 15:03:22.505] ,692
[2020-04-10 15:03:22.605] ,717
[2020-04-10 15:03:22.707] ,722
[2020-04-10 15:03:22.808] ,718
[2020-04-10 15:03:22.907] ,716
[2020-04-10 15:03:23.008] ,718
[2020-04-10 15:03:23.108] ,722
[2020-04-10 15:03:23.209] ,710
[2020-04-10 15:03:23.309] ,712
[2020-04-10 15:03:23.410] ,721
[2020-04-10 15:03:23.510] ,710
[2020-04-10 15:03:23.610] ,701
[2020-04-10 15:03:23.709] ,691
[2020-04-10 15:03:23.809] ,696
[2020-04-10 15:03:23.906] ,697
[2020-04-10 15:03:24.006] ,696
[2020-04-10 15:03:24.107] ,690
[2020-04-10 15:03:24.206] ,691
[2020-04-10 15:03:24.311] ,708
[2020-04-10 15:03:24.411] ,711
[2020-04-10 15:03:24.511] ,701
[2020-04-10 15:03:24.611] ,696
[2020-04-10 15:03:24.711] ,702
[2020-04-10 15:03:24.811] ,712
[2020-04-10 15:03:24.913] ,714
[2020-04-10 15:03:25.014] ,708
[2020-04-10 15:03:25.113] ,702
[2020-04-10 15:03:25.214] ,711
[2020-04-10 15:03:25.313] ,708
[2020-04-10 15:03:25.414] ,697
[2020-04-10 15:03:25.514] ,693
[2020-04-10 15:03:25.614] ,693
[2020-04-10 15:03:25.714] ,691
[2020-04-10 15:03:25.814] ,693
[2020-04-10 15:03:25.907] ,693
[2020-04-10 15:03:26.007] ,690
[2020-04-10 15:03:26.107] ,687
[2020-04-10 15:03:26.207] ,678
[2020-04-10 15:03:26.307] ,664
[2020-04-10 15:03:26.407] ,657
[2020-04-10 15:03:26.517] ,650
[2020-04-10 15:03:26.607] ,653
[2020-04-10 15:03:26.717] ,655
[2020-04-10 15:03:26.817] ,654
[2020-04-10 15:03:26.917] ,666
[2020-04-10 15:03:27.017] ,672
[2020-04-10 15:03:27.117] ,672
[2020-04-10 15:03:27.217] ,657
[2020-04-10 15:03:27.318] ,643
[2020-04-10 15:03:27.417] ,618
[2020-04-10 15:03:27.518] ,624
[2020-04-10 15:03:27.618] ,653
[2020-04-10 15:03:27.719] ,673
[2020-04-10 15:03:27.817] ,660
[2020-04-10 15:03:27.919] ,684
[2020-04-10 15:03:28.020] ,710
[2020-04-10 15:03:28.120] ,706
[2020-04-10 15:03:28.221] ,685
[2020-04-10 15:03:28.320] ,676
[2020-04-10 15:03:28.421] ,672
[2020-04-10 15:03:28.521] ,670
[2020-04-10 15:03:28.621] ,679
[2020-04-10 15:03:28.721] ,687
[2020-04-10 15:03:28.818] ,696
[2020-04-10 15:03:28.915] ,728
[2020-04-10 15:03:29.015] ,733
[2020-04-10 15:03:29.115] ,708
[2020-04-10 15:03:29.215] ,688
[2020-04-10 15:03:29.315] ,656
[2020-04-10 15:03:29.415] ,640
[2020-04-10 15:03:29.515] ,680
[2020-04-10 15:03:29.615] ,691
[2020-04-10 15:03:29.715] ,718
[2020-04-10 15:03:29.815] ,721
[2020-04-10 15:03:29.924] ,729
[2020-04-10 15:03:30.024] ,709
[2020-04-10 15:03:30.125] ,675
[2020-04-10 15:03:30.225] ,627
[2020-04-10 15:03:30.325] ,618
[2020-04-10 15:03:30.425] ,655
[2020-04-10 15:03:30.525] ,675
[2020-04-10 15:03:30.625] ,667
[2020-04-10 15:03:30.725] ,710
[2020-04-10 15:03:30.821] ,725
[2020-04-10 15:03:30.921] ,716
[2020-04-10 15:03:31.021] ,654
[2020-04-10 15:03:31.121] ,609
[2020-04-10 15:03:31.220] ,609
[2020-04-10 15:03:31.320] ,636
[2020-04-10 15:03:31.420] ,717
[2020-04-10 15:03:31.520] ,726
[2020-04-10 15:03:31.620] ,753
[2020-04-10 15:03:31.720] ,746
